subject_id,provider,model,sequence_id,trial_order,email_id,bias,author,legitimacy,action,hit,saliency_strings,saliency_vector,raw_response
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,1,686,familiarity,llm,phishing,Mark as Spam,0,"{""rewards@examplecorp.cs.com"": ""Sender domain 'cs.com' seems unusual for 'ExampleCorp', raising a slight flag."", ""complimentary $50 digital voucher"": ""A high-value offer used to entice immediate action."", ""You have been randomly selected as one of only 15 shoppers in your zip code"": ""Creates a false sense of exclusivity and urgency."", ""Action Required: We are distributing a strictly limited number of these vouchers today. There are only 3 spots left to secure your bonus, and this link will expire in exactly 30 minutes."": ""Creates extreme urgency and scarcity, a common tactic in phishing or scam emails."", ""[-> http://example.com/secure-voucher]"": ""The link points to 'example.com', which is a generic placeholder domain and not related to 'ExampleCorp', indicating a likely scam or phishing attempt.""}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Mark as Spam"",
  ""relevant_strings_dict"": {
    ""rewards@examplecorp.cs.com"": ""Sender domain 'cs.com' seems unusual for 'ExampleCorp', raising a slight flag."",
    ""complimentary $50 digital voucher"": ""A high-value offer used to entice immediate action."",
    ""You have been randomly selected as one of only 15 shoppers in your zip code"": ""Creates a false sense of exclusivity and urgency."",
    ""Action Required: We are distributing a strictly limited number of these vouchers today. There are only 3 spots left to secure your bonus, and this link will expire in exactly 30 minutes."": ""Creates extreme urgency and scarcity, a common tactic in phishing or scam emails."",
    ""[-> http://example.com/secure-voucher]"": ""The link points to 'example.com', which is a generic placeholder domain and not related to 'ExampleCorp', indicating a likely scam or phishing attempt.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,2,964,anchoring,human,ham,Click Link,0,"{""From: Dropbox <no-reply@dropboxmail.com>"": ""Legitimate sender for Dropbox."", ""Jacob (jacob14@gmail.com) thinks you should use Dropbox!"": ""Indicates a personal referral from a specific individual."", ""Get started through this email, and you'll get an extra 500 MB added to your 2 GB of free space."": ""Provides an incentive to accept the invitation."", ""Accept invite [-> https://www.dropbox.com/referrals/AADuX582bAET]"": ""The call to action with a legitimate Dropbox domain, indicating a safe link to click.""}","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Click Link"",
  ""relevant_strings_dict"": {
    ""From: Dropbox <no-reply@dropboxmail.com>"": ""Legitimate sender for Dropbox."",
    ""Jacob (jacob14@gmail.com) thinks you should use Dropbox!"": ""Indicates a personal referral from a specific individual."",
    ""Get started through this email, and you'll get an extra 500 MB added to your 2 GB of free space."": ""Provides an incentive to accept the invitation."",
    ""Accept invite [-> https://www.dropbox.com/referrals/AADuX582bAET]"": ""The call to action with a legitimate Dropbox domain, indicating a safe link to click.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,3,916,authority,human,ham,Mark as Spam,0,"{""From: Jim Jenkins <jim.jenkins@global-infra.com>"": ""Sender appears legitimate, but the email content raises suspicion."", ""Official Notice from the Office of the CIO"": ""Attempts to convey authority and importance, often used in phishing."", ""To view the revised service offerings and understand how these changes might impact you, please download the attached document below:"": ""Instructs to download an attachment, but no attachment is present."", ""Download Revised Services [-> global-infra.com]"": ""This is a link, not an attachment, and the URL is just a domain, not a specific file, which is a common phishing tactic to redirect users to a malicious site.""}","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Mark as Spam"",
  ""relevant_strings_dict"": {
    ""From: Jim Jenkins <jim.jenkins@global-infra.com>"": ""Sender appears legitimate, but the email content raises suspicion."",
    ""Official Notice from the Office of the CIO"": ""Attempts to convey authority and importance, often used in phishing."",
    ""To view the revised service offerings and understand how these changes might impact you, please download the attached document below:"": ""Instructs to download an attachment, but no attachment is present."",
    ""Download Revised Services [-> global-infra.com]"": ""This is a link, not an attachment, and the URL is just a domain, not a specific file, which is a common phishing tactic to redirect users to a malicious site.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,4,1260,overconfidence,human,ham,Click Link,0,"{""From: Bryan Mays <bmays@tucsonlovesscience.com>"": ""Sender's email domain matches the organization name, indicating legitimacy."", ""Subject: Invitation to join the Tucson Science Enthusiasts Club"": ""The subject clearly states the purpose of the email."", ""You have been selected to join the Tucson Science Enthusiasts Club!"": ""This is a direct invitation to join a club."", ""Based on a referral from a friend, we think you would be a great fit!"": ""Explains the reason for the invitation, suggesting a personal connection."", ""For more information about our organization, and directions on how to join, please visit our website [-> http://www.tucsonlovesscience.com/about/new/]"": ""Provides a clear call to action with a legitimate-looking URL that matches the organization's name.""}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Click Link"",
  ""relevant_strings_dict"": {
    ""From: Bryan Mays <bmays@tucsonlovesscience.com>"": ""Sender's email domain matches the organization name, indicating legitimacy."",
    ""Subject: Invitation to join the Tucson Science Enthusiasts Club"": ""The subject clearly states the purpose of the email."",
    ""You have been selected to join the Tucson Science Enthusiasts Club!"": ""This is a direct invitation to join a club."",
    ""Based on a referral from a friend, we think you would be a great fit!"": ""Explains the reason for the invitation, suggesting a personal connection."",
    ""For more information about our organization, and directions on how to join, please visit our website [-> http://www.tucsonlovesscience.com/about/new/]"": ""Provides a clear call to action with a legitimate-looking URL that matches the organization's name.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,5,1440,conformity,human,ham,Click Link,0,"{""From: American Sky Flight Services <loyalty@americansky.com>"": ""The sender's email address and domain appear legitimate for 'American Sky Flight Services'."", ""Subject: Invitation: American Sky Loyalty Rewards Program"": ""The subject clearly indicates a legitimate invitation to a rewards program."", ""We would like to invite you to join our loyalty rewards program, so you can save money while traveling."": ""The core purpose of the email is a clear invitation to a beneficial program."", ""Download our program guide today to learn more and get started: [-> http://www.americansky.com/milerewards-accountsetup/]"": ""The call to action is to download a guide, and the link provided uses the legitimate 'americansky.com' domain, suggesting it's safe to click to learn more.""}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Click Link"",
  ""relevant_strings_dict"": {
    ""From: American Sky Flight Services <loyalty@americansky.com>"": ""The sender's email address and domain appear legitimate for 'American Sky Flight Services'."",
    ""Subject: Invitation: American Sky Loyalty Rewards Program"": ""The subject clearly indicates a legitimate invitation to a rewards program."",
    ""We would like to invite you to join our loyalty rewards program, so you can save money while traveling."": ""The core purpose of the email is a clear invitation to a beneficial program."",
    ""Download our program guide today to learn more and get started: [-> http://www.americansky.com/milerewards-accountsetup/]"": ""The call to action is to download a guide, and the link provided uses the legitimate 'americansky.com' domain, suggesting it's safe to click to learn more.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,6,952,conformity,human,ham,Click Link,0,"{""From: Secarmour Security <webinars@secarmour.com>"": ""Legitimate sender email address and domain for a security company."", ""Subject: Invitation: January Wisdom Insiders Meeting"": ""Clear subject indicating an invitation to a professional event."", ""Deep Dive: 2023 State of the Security Report"": ""Content describes a professional report and a deep dive event, relevant to security updates."", ""Event: January Wisdom Insiders Meeting"": ""Clearly states the event name and details."", ""Register Now [-> http://secarmour.com/registration]"": ""The call to action is to register, and the link uses the legitimate 'secarmour.com' domain, indicating it's safe to click.""}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Click Link"",
  ""relevant_strings_dict"": {
    ""From: Secarmour Security <webinars@secarmour.com>"": ""Legitimate sender email address and domain for a security company."",
    ""Subject: Invitation: January Wisdom Insiders Meeting"": ""Clear subject indicating an invitation to a professional event."",
    ""Deep Dive: 2023 State of the Security Report"": ""Content describes a professional report and a deep dive event, relevant to security updates."",
    ""Event: January Wisdom Insiders Meeting"": ""Clearly states the event name and details."",
    ""Register Now [-> http://secarmour.com/registration]"": ""The call to action is to register, and the link uses the legitimate 'secarmour.com' domain, indicating it's safe to click.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,7,607,authority,human,phishing,Mark as Spam,0,"{""From: Human Resources <updates@hr.com>"": ""The sender's domain 'hr.com' is generic and suspicious for an official HR department."", ""URGENT: Executive Directive - Profile Verification Required"": ""Uses high-pressure language and urgency, a common phishing tactic."", ""As you may know, we recently experienced a system failure at work. As a result, we lost a significant portion of our employee information."": ""Creates a fabricated crisis to prompt immediate action, a common social engineering technique."", ""Worker Info Submit [-> http://hr.123.com]"": ""The link domain 'hr.123.com' is highly suspicious and not a legitimate company domain, indicating a phishing attempt.""}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Mark as Spam"",
  ""relevant_strings_dict"": {
    ""From: Human Resources <updates@hr.com>"": ""The sender's domain 'hr.com' is generic and suspicious for an official HR department."",
    ""URGENT: Executive Directive - Profile Verification Required"": ""Uses high-pressure language and urgency, a common phishing tactic."",
    ""As you may know, we recently experienced a system failure at work. As a result, we lost a significant portion of our employee information."": ""Creates a fabricated crisis to prompt immediate action, a common social engineering technique."",
    ""Worker Info Submit [-> http://hr.123.com]"": ""The link domain 'hr.123.com' is highly suspicious and not a legitimate company domain, indicating a phishing attempt.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,8,380,overconfidence,human,phishing,Mark as Spam,0,"{""From: Walmart Talent Acquisition <careers@wa1mart.com>"": ""The sender's domain 'wa1mart.com' is a common phishing tactic, using a '1' instead of an 'l' to mimic the legitimate 'walmart.com'."", ""Update on your Walmart job application. We're impressed!"": ""The subject and opening use flattery to entice the recipient, a common social engineering technique."", ""Official Corporate HR Communication"": ""Attempts to convey authority and legitimacy, often used in phishing."", ""Please visit the URL below to register and get started with Part 1: Part 1 [-> http://wa1mart/rewards/coupons]"": ""The link domain 'wa1mart' is suspicious, and the path '/rewards/coupons' is completely irrelevant to a job application or interview, indicating a malicious link.""}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Mark as Spam"",
  ""relevant_strings_dict"": {
    ""From: Walmart Talent Acquisition <careers@wa1mart.com>"": ""The sender's domain 'wa1mart.com' is a common phishing tactic, using a '1' instead of an 'l' to mimic the legitimate 'walmart.com'."",
    ""Update on your Walmart job application. We're impressed!"": ""The subject and opening use flattery to entice the recipient, a common social engineering technique."",
    ""Official Corporate HR Communication"": ""Attempts to convey authority and legitimacy, often used in phishing."",
    ""Please visit the URL below to register and get started with Part 1: Part 1 [-> http://wa1mart/rewards/coupons]"": ""The link domain 'wa1mart' is suspicious, and the path '/rewards/coupons' is completely irrelevant to a job application or interview, indicating a malicious link.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,9,784,familiarity,human,ham,Click Link,0,"{""From: Prakiti | Chiiz Magazine <prakiti@chiiz.com>"": ""Legitimate sender email and domain for Chiiz Magazine."", ""Subject: Your Published Work in Chiiz Magazine - Digital Copy & JPEGs"": ""Subject indicates content directly relevant to the recipient's work."", ""Hello Naveed,"": ""Personalized greeting, suggesting the email is intended for the recipient."", ""We are providing you with the digital version of CHIIZ Magazine (you will need to use your code to access the digital version) and the JPEG files of your published work."": ""Clearly states the purpose of the email: to provide access to published work."", ""Access and download your JPEG files here: Download JPEG Files [-> https://drive.chiiz.com/open?id=1EUf9az70nV]"": ""The primary call to action is to download files, and the link uses a legitimate 'chiiz.com' subdomain, indicating it's safe to click to access the content.""}","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Click Link"",
  ""relevant_strings_dict"": {
    ""From: Prakiti | Chiiz Magazine <prakiti@chiiz.com>"": ""Legitimate sender email and domain for Chiiz Magazine."",
    ""Subject: Your Published Work in Chiiz Magazine - Digital Copy & JPEGs"": ""Subject indicates content directly relevant to the recipient's work."",
    ""Hello Naveed,"": ""Personalized greeting, suggesting the email is intended for the recipient."",
    ""We are providing you with the digital version of CHIIZ Magazine (you will need to use your code to access the digital version) and the JPEG files of your published work."": ""Clearly states the purpose of the email: to provide access to published work."",
    ""Access and download your JPEG files here: Download JPEG Files [-> https://drive.chiiz.com/open?id=1EUf9az70nV]"": ""The primary call to action is to download files, and the link uses a legitimate 'chiiz.com' subdomain, indicating it's safe to click to access the content.""
  }
}"
llm-gemini-25flash-seq1-001,gemini,gemini-2.5-flash,1,10,804,urgency,human,ham,Click Link,0,"{""From: USCIS MyAccount <myaccount@uscis.dhs.gov>"": ""Legitimate sender email address and domain for a government agency."", ""Subject: Confirm your USCIS Account email address"": ""The subject clearly indicates a standard account verification process."", ""U.S. Department of Homeland Security U.S. Citizenship and Immigration Services (USCIS)"": ""Confirms the official source of the email."", ""To continue creating your USCIS Account, you must confirm your email address."": ""Explains the clear and legitimate purpose of the email."", ""Download Confirmation Document [-> https://myaccount.uscis.dhs.gov/users/confirmation?confirmation_token=GNu5H36KvxmznRLW3oxW]"": ""The call to action is to confirm the email, and the link uses the legitimate 'uscis.dhs.gov' domain, indicating it's safe to click.""}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{
  ""action"": ""Click Link"",
  ""relevant_strings_dict"": {
    ""From: USCIS MyAccount <myaccount@uscis.dhs.gov>"": ""Legitimate sender email address and domain for a government agency."",
    ""Subject: Confirm your USCIS Account email address"": ""The subject clearly indicates a standard account verification process."",
    ""U.S. Department of Homeland Security U.S. Citizenship and Immigration Services (USCIS)"": ""Confirms the official source of the email."",
    ""To continue creating your USCIS Account, you must confirm your email address."": ""Explains the clear and legitimate purpose of the email."",
    ""Download Confirmation Document [-> https://myaccount.uscis.dhs.gov/users/confirmation?confirmation_token=GNu5H36KvxmznRLW3oxW]"": ""The call to action is to confirm the email, and the link uses the legitimate 'uscis.dhs.gov' domain, indicating it's safe to click.""
  }
}"
